OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
1,GO-20141260973,1388552400000,1388552400000,2014,January,1,1,Wednesday ,4,2014.0,January,1.0,1.0,Wednesday ,4,NSA,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2130,210,Theft Over,Theft Over,NSA,NSA,NSA,NSA,-85.4887438847069,0.0
2,GO-20141264862,1388552400000,1388552400000,2014,January,1,1,Wednesday ,23,2014.0,January,1.0,1.0,Wednesday ,23,D43,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,156,Bendale-Glen Andrew,127,Bendale (127),-79.2591698455305,43.7784380272832
3,GO-20141267602,1388638800000,1387861200000,2014,January,2,2,Thursday  ,23,2013.0,December,24.0,358.0,Tuesday   ,2,D32,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,151,Yonge-Doris,51,Willowdale East (51),-79.4143808062986,43.7751508461291
4,GO-20141269604,1388638800000,1388638800000,2014,January,2,2,Thursday  ,19,2014.0,January,2.0,2.0,Thursday  ,18,D55,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,70,South Riverdale,70,South Riverdale (70),-79.3421665159189,43.6661530657298
5,GO-20141270156,1388638800000,1388638800000,2014,January,2,2,Thursday  ,20,2014.0,January,2.0,2.0,Thursday  ,20,D33,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,47,Don Valley Village,47,Don Valley Village (47),-79.3437191362443,43.7758285046409
6,GO-20141275836,1388725200000,1388466000000,2014,January,3,3,Friday    ,18,2013.0,December,31.0,365.0,Tuesday   ,11,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81),-79.4199635872437,43.6541160717457
7,GO-20141274610,1388725200000,1388725200000,2014,January,3,3,Friday    ,15,2014.0,January,3.0,3.0,Friday    ,14,D52,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.3824211080824,43.6517547739066
8,GO-20141276966,1388725200000,1388725200000,2014,January,3,3,Friday    ,13,2014.0,January,3.0,3.0,Friday    ,12,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,55,Thorncliffe Park,55,Thorncliffe Park (55),-79.3457948187012,43.7036843035894
9,GO-20141277440,1388811600000,1388552400000,2014,January,4,4,Saturday  ,0,2014.0,January,1.0,1.0,Wednesday ,2,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81),-79.4199635872437,43.6541160717457
10,GO-20141279197,1388811600000,1388725200000,2014,January,4,4,Saturday  ,9,2014.0,January,3.0,3.0,Friday    ,21,D42,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,129,Agincourt North,129,Agincourt North (129),-79.2726349761011,43.8066871491319
11,GO-20141284673,1388898000000,1388898000000,2014,January,5,5,Sunday    ,6,2014.0,January,5.0,5.0,Sunday    ,6,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,150,Fenside-Parkwoods,45,Parkwoods-Donalda (45),-79.3331655561643,43.7604327097675
12,GO-20141293398,1388984400000,1387256400000,2014,January,6,6,Monday    ,19,2013.0,December,17.0,351.0,Tuesday   ,12,D22,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.5024760786625,43.6259768946541
13,GO-20141301110,1389070800000,1389070800000,2014,January,7,7,Tuesday   ,22,2014.0,January,7.0,7.0,Tuesday   ,22,D33,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,150,Fenside-Parkwoods,45,Parkwoods-Donalda (45),-79.3331655561643,43.7604327097675
14,GO-20141306704,1389157200000,1389157200000,2014,January,8,8,Wednesday ,22,2014.0,January,8.0,8.0,Wednesday ,15,D53,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,56,Leaside-Bennington,56,Leaside-Bennington (56),-79.3598214107523,43.7145978219767
15,GO-20141302953,1389157200000,1389157200000,2014,January,8,8,Wednesday ,9,2014.0,January,8.0,8.0,Wednesday ,2,D23,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.5883158190954,43.6787150120529
16,GO-20141309789,1389243600000,1389157200000,2014,January,9,9,Thursday  ,12,2014.0,January,8.0,8.0,Wednesday ,12,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,56,Leaside-Bennington,56,Leaside-Bennington (56),-79.3682690681449,43.7156970435846
17,GO-20141310140,1389243600000,1386306000000,2014,January,9,9,Thursday  ,12,2013.0,December,6.0,340.0,Friday    ,3,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,70,South Riverdale,70,South Riverdale (70),-79.3309734150006,43.6712993563629
18,GO-20141303907,1389243600000,1388984400000,2014,January,9,9,Thursday  ,11,2014.0,January,6.0,6.0,Monday    ,0,D23,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.5843643403058,43.6773761023449
19,GO-20141312296,1389243600000,1388034000000,2014,January,9,9,Thursday  ,17,2013.0,December,26.0,360.0,Thursday  ,14,D23,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.5883969179049,43.7026179847489
20,GO-20141309782,1389243600000,1389243600000,2014,January,9,9,Thursday  ,10,2014.0,January,9.0,9.0,Thursday  ,10,D31,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,22,Humbermede,22,Humbermede (22),-79.5314630547764,43.7496546562001
21,GO-20141315465,1389330000000,1389243600000,2014,January,10,10,Friday    ,8,2014.0,January,9.0,9.0,Thursday  ,22,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.3998671693323,43.6525451453098
22,GO-20141335936,1389416400000,1389416400000,2014,January,11,11,Saturday  ,16,2014.0,January,11.0,11.0,Saturday  ,16,D33,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,47,Don Valley Village,47,Don Valley Village (47),-79.3594948824373,43.7733364365397
23,GO-20141318041,1389416400000,1385874000000,2014,January,11,11,Saturday  ,0,2013.0,December,1.0,335.0,Sunday    ,0,D51,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.3807192628818,43.6635544373653
24,GO-20141326157,1389416400000,1389416400000,2014,January,11,11,Saturday  ,21,2014.0,January,11.0,11.0,Saturday  ,21,D14,"Apartment (Rooming House, Condo)",Apartment,2132,200,Theft From Motor Vehicle Over,Theft Over,163,Fort York-Liberty Village,82,Niagara (82),-79.4142425682501,43.6394308317956
25,GO-20141331086,1389502800000,1389502800000,2014,January,12,12,Sunday    ,17,2014.0,January,12.0,12.0,Sunday    ,12,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.3982923070474,43.7509265926874
26,GO-20141336659,1389589200000,1389589200000,2014,January,13,13,Monday    ,15,2014.0,January,13.0,13.0,Monday    ,15,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.3604107886786,43.7548426776876
27,GO-20141342156,1389675600000,1389675600000,2014,January,14,14,Tuesday   ,15,2014.0,January,14.0,14.0,Tuesday   ,14,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,53,Henry Farm,53,Henry Farm (53),-79.3490357370254,43.7683723094929
28,GO-20141341993,1389675600000,1389675600000,2014,January,14,14,Tuesday   ,14,2014.0,January,14.0,14.0,Tuesday   ,13,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,10,Princess-Rosethorn,10,Princess-Rosethorn (10),-79.5576105514,43.6754823994086
29,GO-20141343665,1389675600000,1389675600000,2014,January,14,14,Tuesday   ,18,2014.0,January,14.0,14.0,Tuesday   ,11,D52,Other Passenger Train,Transit,2130,210,Theft Over,Theft Over,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),-79.3805774952918,43.6464145918027
30,GO-20141340474,1389675600000,1389589200000,2014,January,14,14,Tuesday   ,8,2014.0,January,13.0,13.0,Monday    ,21,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,72,Regent Park,72,Regent Park (72),-79.3629980089409,43.6600810693846
31,GO-20141338731,1389675600000,1389589200000,2014,January,14,14,Tuesday   ,0,2014.0,January,13.0,13.0,Monday    ,21,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.3974464239336,43.6535723051822
32,GO-20141343564,1389675600000,1389502800000,2014,January,14,14,Tuesday   ,18,2014.0,January,12.0,12.0,Sunday    ,21,D52,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.3855525565135,43.6488628235918
33,GO-20141340641,1389675600000,1389675600000,2014,January,14,14,Tuesday   ,9,2014.0,January,14.0,14.0,Tuesday   ,9,D11,Schools During Un-Supervised Activity,Educational,2132,200,Theft From Motor Vehicle Over,Theft Over,88,High Park North,88,High Park North (88),-79.4751783472057,43.6576262299301
34,GO-20141382719,1389762000000,1357016400000,2014,January,15,15,Wednesday ,13,2013.0,January,1.0,1.0,Tuesday   ,7,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),-79.552915431003,43.6862155429065
35,GO-20141350542,1389762000000,1389762000000,2014,January,15,15,Wednesday ,20,2014.0,January,15.0,15.0,Wednesday ,18,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.5026285836511,43.6263300895265
36,GO-20141347372,1389762000000,1389675600000,2014,January,15,15,Wednesday ,11,2014.0,January,14.0,14.0,Tuesday   ,16,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,200,Theft From Mail / Bag / Key,Theft Over,88,High Park North,88,High Park North (88),-79.4615642302699,43.6615096268699
37,GO-20141347424,1389762000000,1389675600000,2014,January,15,15,Wednesday ,13,2014.0,January,14.0,14.0,Tuesday   ,23,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,9,Edenbridge-Humber Valley,9,Edenbridge-Humber Valley (9),-79.5246187033767,43.6777067609668
38,GO-20141359688,1389934800000,1389762000000,2014,January,17,17,Friday    ,9,2014.0,January,15.0,15.0,Wednesday ,17,D22,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,159,Etobicoke City Centre,14,Islington-City Centre West (14),-79.533232865174,43.6241533966844
39,GO-20141364302,1389934800000,1389934800000,2014,January,17,17,Friday    ,23,2014.0,January,17.0,17.0,Friday    ,21,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,65,Greenwood-Coxwell,65,Greenwood-Coxwell (65),-79.3246207356752,43.6648971180296
40,GO-20141360646,1389934800000,1389934800000,2014,January,17,17,Friday    ,12,2014.0,January,17.0,17.0,Friday    ,12,D54,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,200,Theft From Mail / Bag / Key,Theft Over,54,O'Connor-Parkview,54,O'Connor-Parkview (54),-79.3118680012856,43.7056119985098
41,GO-20141364249,1389934800000,1389416400000,2014,January,17,17,Friday    ,23,2014.0,January,11.0,11.0,Saturday  ,15,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,109,Caledonia-Fairbank,109,Caledonia-Fairbank (109),-79.4612527602209,43.6906617131191
42,GO-20141362315,1389934800000,1370404800000,2014,January,17,17,Friday    ,18,2013.0,June,5.0,156.0,Wednesday ,0,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,169,Bay-Cloverhill,76,Bay Street Corridor (76),-79.3859282648464,43.6668939417761
43,GO-20141366736,1390021200000,1389934800000,2014,January,18,18,Saturday  ,11,2014.0,January,17.0,17.0,Friday    ,17,D32,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.402220789517,43.7472577807313
44,GO-20141367464,1390021200000,1390021200000,2014,January,18,18,Saturday  ,14,2014.0,January,18.0,18.0,Saturday  ,14,D22,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),-79.4997004332205,43.6131252793439
45,GO-20141368890,1390021200000,1390021200000,2014,January,18,18,Saturday  ,18,2014.0,January,18.0,18.0,Saturday  ,18,D43,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,138,Eglinton East,138,Eglinton East (138),-79.2461606625298,43.7370911665874
46,GO-20141372418,1390107600000,1389848400000,2014,January,19,19,Sunday    ,11,2014.0,January,16.0,16.0,Thursday  ,13,D31,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,21,Humber Summit,21,Humber Summit (21),-79.5595073775689,43.7507346570493
47,GO-20141371719,1390107600000,1388725200000,2014,January,19,19,Sunday    ,8,2014.0,January,3.0,3.0,Friday    ,8,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,140,Guildwood,140,Guildwood (140),-79.191646691949,43.7548708398653
48,GO-20141370340,1390107600000,1390021200000,2014,January,19,19,Sunday    ,0,2014.0,January,18.0,18.0,Saturday  ,23,D53,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,174,South Eglinton-Davisville,104,Mount Pleasant West (104),-79.3968256415928,43.7070529901602
49,GO-20141377375,1390194000000,1389675600000,2014,January,20,20,Monday    ,14,2014.0,January,14.0,14.0,Tuesday   ,12,D12,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,112,Beechborough-Greenbrook,112,Beechborough-Greenbrook (112),-79.4685326824295,43.6964851929662
50,GO-20141380686,1390194000000,1389330000000,2014,January,20,20,Monday    ,21,2014.0,January,10.0,10.0,Friday    ,14,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.3835749391268,43.6479181857978
51,GO-20141377896,1390194000000,1384405200000,2014,January,20,20,Monday    ,12,2013.0,November,14.0,318.0,Thursday  ,8,D55,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,63,The Beaches,63,The Beaches (63),-79.2852321094632,43.6731114874909
52,GO-20141380597,1390194000000,1390194000000,2014,January,20,20,Monday    ,20,2014.0,January,20.0,20.0,Monday    ,16,D31,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.5133460590889,43.7219809649248
53,GO-20141382896,1390280400000,1389070800000,2014,January,21,21,Tuesday   ,8,2014.0,January,7.0,7.0,Tuesday   ,16,D11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,83,Dufferin Grove,83,Dufferin Grove (83),-79.4366011332856,43.6557476512861
54,GO-20141389838,1390366800000,1363320000000,2014,January,22,22,Wednesday ,11,2013.0,March,15.0,74.0,Friday    ,9,D23,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,2130,210,Theft Over,Theft Over,4,Rexdale-Kipling,4,Rexdale-Kipling (4),-79.5726738590126,43.7241245932046
55,GO-20141395847,1390453200000,1390453200000,2014,January,23,23,Thursday  ,11,2014.0,January,23.0,23.0,Thursday  ,11,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.424104854816,43.7322019554563
56,GO-20141396198,1390453200000,1390453200000,2014,January,23,23,Thursday  ,12,2014.0,January,23.0,23.0,Thursday  ,12,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,3,Thistletown-Beaumond Heights,3,Thistletown-Beaumond Heights (3),-79.558400851842,43.7360928363615
57,GO-20141397979,1390453200000,1388293200000,2014,January,23,23,Thursday  ,17,2013.0,December,29.0,363.0,Sunday    ,12,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.3821273102202,43.6496085363322
58,GO-20141397728,1390453200000,1389934800000,2014,January,23,23,Thursday  ,18,2014.0,January,17.0,17.0,Friday    ,10,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,95,Annex,95,Annex (95),-79.3941377694399,43.6687140893441
59,GO-20141401067,1390539600000,1357016400000,2014,January,24,24,Friday    ,9,2013.0,January,1.0,1.0,Tuesday   ,0,D33,"Open Areas (Lakes, Parks, Rivers)",Outside,2130,210,Theft Over,Theft Over,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.3517430192807,43.7512945343208
60,GO-20141408533,1390539600000,1390366800000,2014,January,24,24,Friday    ,12,2014.0,January,22.0,22.0,Wednesday ,17,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.4253531252843,43.7167789955316
61,GO-20149000751,1390626000000,1390453200000,2014,January,25,25,Saturday  ,20,2014.0,January,23.0,23.0,Thursday  ,0,D54,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),-79.3174296060118,43.6995005653987
62,GO-20141414982,1390712400000,1390626000000,2014,January,26,26,Sunday    ,18,2014.0,January,25.0,25.0,Saturday  ,18,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),-79.3621377088888,43.6501911227359
63,GO-20141413752,1390712400000,1390539600000,2014,January,26,26,Sunday    ,13,2014.0,January,24.0,24.0,Friday    ,13,D31,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,24,Black Creek,24,Black Creek (24),-79.5228450546412,43.7729885440449
64,GO-20141413263,1390712400000,1386738000000,2014,January,26,26,Sunday    ,12,2013.0,December,11.0,345.0,Wednesday ,12,D42,Unknown,Other,2130,200,Theft From Mail / Bag / Key,Theft Over,116,Steeles,116,Steeles (116),-79.3297145942896,43.8062933023694
65,GO-20141413424,1390712400000,1390712400000,2014,January,26,26,Sunday    ,12,2014.0,January,26.0,26.0,Sunday    ,12,NSA,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,NSA,NSA,NSA,NSA,-85.4887438847069,0.0
66,GO-20141413933,1390798800000,1390626000000,2014,January,27,27,Monday    ,19,2014.0,January,25.0,25.0,Saturday  ,14,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.5770627032995,43.6902060121887
67,GO-20141419564,1390798800000,1389243600000,2014,January,27,27,Monday    ,14,2014.0,January,9.0,9.0,Thursday  ,0,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.3593885122339,43.7458673809645
68,GO-20141418709,1390798800000,1390539600000,2014,January,27,27,Monday    ,13,2014.0,January,24.0,24.0,Friday    ,12,D13,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,94,Wychwood,94,Wychwood (94),-79.4307369224167,43.6806459676422
69,GO-20141427238,1390885200000,1384059600000,2014,January,28,28,Tuesday   ,19,2013.0,November,10.0,314.0,Sunday    ,12,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81),-79.4120537509788,43.6507047902646
70,GO-20141424403,1390885200000,1390798800000,2014,January,28,28,Tuesday   ,14,2014.0,January,27.0,27.0,Monday    ,14,D23,Unknown,Other,2132,200,Theft From Motor Vehicle Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.5782640714048,43.7013177978011
71,GO-20141427641,1390885200000,1390539600000,2014,January,28,28,Tuesday   ,21,2014.0,January,24.0,24.0,Friday    ,9,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,7,Willowridge-Martingrove-Richview,7,Willowridge-Martingrove-Richview (7),-79.5284847726539,43.6830373727723
72,GO-20141431375,1390971600000,1388206800000,2014,January,29,29,Wednesday ,13,2013.0,December,28.0,362.0,Saturday  ,12,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,200,Theft From Mail / Bag / Key,Theft Over,161,Humber Bay Shores,17,Mimico (includes Humber Bay Shores) (17),-79.4872330556583,43.6145425140539
73,GO-20141430862,1390971600000,1381723200000,2014,January,29,29,Wednesday ,14,2013.0,October,14.0,287.0,Monday    ,23,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,94,Wychwood,94,Wychwood (94),-79.4286791480061,43.6772723960676
74,GO-20141431172,1390971600000,1390971600000,2014,January,29,29,Wednesday ,13,2014.0,January,29.0,29.0,Wednesday ,9,D53,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,95,Annex,95,Annex (95),-79.3908219188854,43.6700313946477
75,GO-20141432068,1390971600000,1390971600000,2014,January,29,29,Wednesday ,15,2014.0,January,29.0,29.0,Wednesday ,15,D13,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,96,Casa Loma,96,Casa Loma (96),-79.4142099400559,43.6753882990975
76,GO-20141433802,1390971600000,1390971600000,2014,January,29,29,Wednesday ,21,2014.0,January,29.0,29.0,Wednesday ,21,D52,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2130,210,Theft Over,Theft Over,165,Harbourfront-CityPlace,77,Waterfront Communities-The Island (77),-79.3850178557778,43.6447694076816
77,GO-20141436885,1391058000000,1391058000000,2014,January,30,30,Thursday  ,12,2014.0,January,30.0,30.0,Thursday  ,12,D52,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,164,Wellington Place,77,Waterfront Communities-The Island (77),-79.3917908551478,43.644742345316
78,GO-20141444562,1391144400000,1391144400000,2014,January,31,31,Friday    ,15,2014.0,January,31.0,31.0,Friday    ,13,D11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,87,High Park-Swansea,87,High Park-Swansea (87),-79.4732730279096,43.6503438684725
79,GO-20141442432,1391144400000,1391058000000,2014,January,31,31,Friday    ,10,2014.0,January,30.0,30.0,Thursday  ,17,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.3757159986765,43.6496342318254
80,GO-2014141431694,1391230800000,1391144400000,2014,February,1,32,Saturday  ,0,2014.0,January,31.0,31.0,Friday    ,18,D11,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,87,High Park-Swansea,87,High Park-Swansea (87),-79.451306499378,43.6393337492031
81,GO-20141448551,1391230800000,1388552400000,2014,February,1,32,Saturday  ,9,2014.0,January,1.0,1.0,Wednesday ,0,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,35,Westminster-Branson,35,Westminster-Branson (35),-79.4487313940157,43.7854992633364
82,GO-20141456726,1391317200000,1389330000000,2014,February,2,33,Sunday    ,17,2014.0,January,10.0,10.0,Friday    ,11,D41,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),-79.2872745185364,43.7269310987218
83,GO-20141455610,1391317200000,1390971600000,2014,February,2,33,Sunday    ,13,2014.0,January,29.0,29.0,Wednesday ,21,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,73,Moss Park,73,Moss Park (73),-79.3691238688787,43.6635269419602
84,GO-20141456831,1391317200000,1391317200000,2014,February,2,33,Sunday    ,17,2014.0,February,2.0,33.0,Sunday    ,0,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,143,West Rouge,131,Rouge (131),-79.175702610951,43.8014002777477
85,GO-20141454869,1391317200000,1378785600000,2014,February,2,33,Sunday    ,11,2013.0,September,10.0,253.0,Tuesday   ,12,D51,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,2130,210,Theft Over,Theft Over,72,Regent Park,72,Regent Park (72),-79.3647697563659,43.6604417119691
86,GO-20141523716,1391317200000,1389416400000,2014,February,2,33,Sunday    ,17,2014.0,January,11.0,11.0,Saturday  ,11,D33,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,47,Don Valley Village,47,Don Valley Village (47),-79.3437191362443,43.7758285046409
